(-34.202014332566854, -93.96926207859084)
(-31.351846471519615, -86.13849023870827)
(-28.50167861047238, -78.3077183988257)
(-25.651510749425142, -70.47694655894313)
(-22.801342888377903, -62.64617471906057)
(-19.951175027330663, -54.815402879177995)
(-17.101007166283427, -46.98463103929542)
(-14.250839305236191, -39.15385919941286)
(-11.400671444188951, -31.323087359530284)
(-8.550503583141712, -23.49231551964772)
(-5.700335722094476, -15.661543679765145)
(-2.8501678610472396, -7.830771839882573)
(0.0, 0.0)
(2.8501678610472396, 7.830771839882573)
(5.700335722094472, 15.661543679765131)
(8.550503583141712, 23.492315519647704)
(11.400671444188951, 31.323087359530277)
(14.250839305236191, 39.153859199412835)
(17.10100716628343, 46.98463103929541)
(19.951175027330663, 54.81540287917798)
(22.801342888377903, 62.646174719060554)
(25.651510749425142, 70.47694655894313)
(28.501678610472375, 78.3077183988257)
(31.351846471519615, 86.13849023870827)
(34.202014332566854, 93.96926207859084)
